ledger_id	path_b64	display_path	entry_type	hidden	size_bytes	modified_epoch	category	git_kind	git_head	git_common_dir	upstream_state	risk	disposition	destination	backup_ref	verification	status	notes
home-96bdad3e2b18f1a42ba47c4c06951fa89908c10c7d49dbc0b01dee72d89679cf	L1VzZXJzL2tvb3NoYXBhcmkvJXNuICIkcmVwbyIgIiRyZWFzb24iCiAgZG9uZQpmaQoKaWYgKCgkeyNtaXNzaW5nX2FueVtAXX0pKTsgdGhlbgogIHByaW50ZiBSZXBvcw==	/Users/kooshapari/%sn\ \"\$repo\"\ \"\$reason\"$'\n'\ \ done$'\n'fi$'\n'$'\n'if\ \(\(\$\{\#missing_any\[@\]\}\)\)\;\ then$'\n'\ \ printf\ Repos	file	false	0	1772490140	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-6248798ebcd47f83398563a8a145770fdfc21b2cf2996e9fad40320034094a12	L1VzZXJzL2tvb3NoYXBhcmkvJXNuICIkcmVwbyIgIiRyZWFzb24iCiAgZG9uZQpmaQppZiAoKCR7I2ludmFsaWRfY2xhdWRlW0BdfSkpOyB0aGVuCiAgcHJpbnRmIEludmFsaWQ=	/Users/kooshapari/%sn\ \"\$repo\"\ \"\$reason\"$'\n'\ \ done$'\n'fi$'\n'if\ \(\(\$\{\#invalid_claude\[@\]\}\)\)\;\ then$'\n'\ \ printf\ Invalid	file	false	0	1772490140	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-5081f4f0b3d7e08d7545679c5b12585e563e70f88bc6ddaf8491b01af361ab2d	L1VzZXJzL2tvb3NoYXBhcmkvLjRzZ20tcnVubmVy	/Users/kooshapari/.4sgm-runner	directory	true	448	1771851994	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-88bf637e57d51734360ba37d3140fce42b1699945f8832af101d43d14e1f50ba	L1VzZXJzL2tvb3NoYXBhcmkvLkNGVXNlclRleHRFbmNvZGluZw==	/Users/kooshapari/.CFUserTextEncoding	file	true	7	1714784085	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-1efccb0aad78ddc401b56026f6a717264353b6d29bcc702ccdbd072012a190e3	L1VzZXJzL2tvb3NoYXBhcmkvLkRETG9jYWxCYWNrdXBz	/Users/kooshapari/.DDLocalBackups	directory	true	64	1744415118	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-2ff3484a9bfc213c3ee52f3c0e8cab3f64bc4fecd2a870ee357ce10c6e6ca234	L1VzZXJzL2tvb3NoYXBhcmkvLkREUHJldmlldw==	/Users/kooshapari/.DDPreview	directory	true	64	1744415094	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-225a2b6720cf36b055da0b6ffcb040027b88104d84cf30f624be0ad1e75929ec	L1VzZXJzL2tvb3NoYXBhcmkvLkRTX1N0b3Jl	/Users/kooshapari/.DS_Store	file	true	34820	1784081613	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-190c28b87cd0d7ffafedf05984e0589a6257a68d069d695dd5594520c7631b84	L1VzZXJzL2tvb3NoYXBhcmkvLlNlcnZpY2VIdWI=	/Users/kooshapari/.ServiceHub	directory	true	1184	1764996523	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-5a966858e2600fff5235d4ea3842c0f197c03cb6296a4d4ca571cf75e939445d	L1VzZXJzL2tvb3NoYXBhcmkvLlRyYXNo	/Users/kooshapari/.Trash	directory	true	192	1784086178	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
home-ae1234405eccd36101fb1e6ac1a8f203a013e1604cd4131a4e546ebc31a15f99	L1VzZXJzL2tvb3NoYXBhcmkvLlhhdXRob3JpdHk=	/Users/kooshapari/.Xauthority	file	true	175	1781157795	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	PENDING	PENDING	PENDING	PENDING	PENDING	
